draw,pearson_r,spearman_rho,cosine_similarity,sign_concordance,projection,frozen_score_log_hr
67,0.34157319423025073,0.17565217391304347,0.6725064645193211,0.7083333333333334,0.1961775079579059,0.0880962500173176
68,0.7157284545980621,0.606086956521739,0.8584366638628468,0.875,0.32165181436702023,0.14617837442501247
69,0.07111269675499968,0.034782608695652174,0.09010031358750492,0.5416666666666666,0.017892064683100582,0.007166573014812398
70,0.45998808513100137,0.34956521739130436,0.7062869000369292,0.75,0.21173808017260887,0.09592478532687757
71,0.471587743640434,0.46086956521739125,0.7590450050288642,0.7916666666666666,0.3921784852272012,0.17632215386127695
72,0.5916190967302987,0.40086956521739125,0.7793263095313444,0.875,0.20781506687194776,0.09689595150099947
73,0.42113219627653087,0.3217391304347825,0.5923739035201792,0.5416666666666666,0.15604337997336457,0.07082297555463737
74,0.624774842435765,0.5313043478260869,0.5772544343183847,0.5,0.1558206299259108,0.06872821317065593
75,0.5248206389918206,0.38,0.721216416392307,0.7083333333333334,0.2522534677947388,0.11372644937738596
76,0.43444580819539924,0.22347826086956518,0.7176448335221892,0.8333333333333334,0.2924461533527385,0.13082237873085295
77,0.48659983423420755,0.45217391304347826,0.767166470464507,0.875,0.3169669308563582,0.14433607345498886
78,0.5361683781935191,0.2843478260869565,0.6748069451821437,0.5833333333333334,0.20592094455516383,0.09348525652522624
79,0.3797361844854732,0.24608695652173912,0.6495115876761733,0.7083333333333334,0.17815801464124778,0.08338367374641524
80,0.62675659776992,0.5017391304347826,0.801564637752118,0.7916666666666666,0.3204615606539652,0.14906898627088938
81,0.4748599360024586,0.3652173913043478,0.6868239189619726,0.75,0.25735717830380134,0.11421749650745126
82,0.5202146818711282,0.39652173913043476,0.7472513809643221,0.7916666666666666,0.27274713477326384,0.12129189467442615
83,0.16122531586229077,0.02869565217391304,0.44094833441490944,0.5416666666666666,0.1107555098820028,0.049164806813871
84,0.32789402476114893,0.18347826086956517,0.6660711458249623,0.7083333333333334,0.23209344427719752,0.10604556273640663
85,0.1880033409160742,0.1408695652173913,0.5145774028590961,0.6666666666666666,0.1505120367237975,0.06718807648354508
86,0.273865264105958,0.1026086956521739,0.6571286031839785,0.7916666666666666,0.2693147192401955,0.12212480838063465
87,0.5371578442074283,0.4460869565217391,0.7679193185011788,0.75,0.2866440568607214,0.12764172980899138
88,0.5237223531897697,0.4252173913043478,0.7227396532210086,0.75,0.2357640286558554,0.10801500629526159
89,0.4569873357943348,0.32434782608695645,0.7511878296555897,0.8333333333333334,0.2722245102165275,0.1253714005748966
90,0.21151453584213092,0.13217391304347825,0.5093300848578161,0.75,0.14713850191368824,0.06793543959476044
91,0.21756520283163855,0.19478260869565217,0.5979362543355767,0.7916666666666666,0.15398568070053856,0.07122523095471596
92,0.30857411900222104,0.15391304347826085,0.6809193242356554,0.7916666666666666,0.25429144368737894,0.1165280996079677
93,0.4880679533371142,0.4991304347826086,0.7612444042664325,0.9583333333333334,0.3383562152759746,0.14935937494862891
94,0.37390187882251047,0.31913043478260866,0.7195947840829848,0.8333333333333334,0.2193766588926603,0.10074759554704249
95,0.509285717047397,0.38608695652173913,0.7508562323111941,0.8333333333333334,0.3194955434166564,0.14525899020938013
96,0.6342403791706452,0.4721739130434783,0.8065584964256006,0.7083333333333334,0.29473548740613725,0.13448612441584484
97,0.586414871543621,0.42,0.5694953926926973,0.4583333333333333,0.16392927848401406,0.0737311553524074
98,0.7246996361192195,0.5747826086956522,0.857199613744729,0.75,0.30804762702678934,0.1405610170375227
99,0.30429626586319763,0.25217391304347825,0.48819525979804956,0.7083333333333334,0.12803440079386272,0.0562988088778491
100,0.187728562625559,0.09478260869565217,0.5311413646183211,0.625,0.15414352044968316,0.07147422929667638
101,0.6606754130448864,0.5217391304347825,0.832319987997958,0.875,0.3687685068903039,0.1678879543652471
102,0.49245379202463546,0.4208695652173913,0.6427353258766633,0.625,0.18454069363885775,0.08308477525617498
103,0.5943654617837586,0.47043478260869553,0.7819855011027302,0.7916666666666666,0.20215711543585188,0.09554908299010932
104,0.3628523100289147,0.32347826086956516,0.6431202356741943,0.6666666666666666,0.24889469292588995,0.11183099323507888
105,0.555467246849881,0.3904347826086956,0.7887128191686992,0.875,0.3364891645153066,0.15331274977219778
106,0.4749689121451886,0.38608695652173913,0.7399168641295073,0.7916666666666666,0.2630409841225426,0.12135269691823634
107,0.731911796342124,0.5443478260869564,0.8660865515707102,0.875,0.33793535092159227,0.15317597918211256
108,0.5960373134980133,0.3956521739130434,0.6266282013081774,0.5833333333333334,0.17171244730007648,0.07925812055925376
109,0.5847639946869319,0.47043478260869553,0.7269961475532445,0.7083333333333334,0.3188670075333231,0.14683233924965092
110,0.6337664552369306,0.5295652173913042,0.8023256776805656,0.7916666666666666,0.35792861853287283,0.1603230691789966
111,0.6121078986544307,0.5626086956521739,0.802569720328879,0.875,0.2883457271683765,0.12984781868669298
112,0.6917411626240522,0.5452173913043478,0.8469481222465999,0.875,0.29841084842099863,0.13703492123431546
113,0.5042813729298706,0.4278260869565217,0.7337330428333166,0.7083333333333334,0.36401836107404895,0.16186194556251365
114,0.5789721473172075,0.42956521739130427,0.7451467571677068,0.5833333333333334,0.2332703795726404,0.10564242546742261
115,0.4709239648758051,0.3947826086956522,0.7313287863490642,0.7083333333333334,0.2774477242249612,0.12546573426298255
116,0.3901903514907224,0.3017391304347826,0.7256688907909699,0.7916666666666666,0.3116620271788666,0.1413029770342644
