feature,lead,feature_family,n,deaths,hr_per_sd,ci95_lower,ci95_upper,p_value,concordance,adjustment_covariates,cohort,subgroup,analysis,bonferroni_alpha_24,bonferroni_significant,trim_lower,trim_upper
rs_diff_2_V3,V3,rs_diff_2,14447,536,0.9901151890105722,0.9116510568521999,1.075332584919468,0.8135721241847901,0.8170508503457807,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_V4,V4,rs_diff,14447,536,0.9961415307203383,0.9231141149606101,1.0749461341171243,0.9207255628770271,0.8170421249902053,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_V4,V4,rs_diff_2,14447,536,1.020915764278193,0.9408139693562041,1.107837502099324,0.6195213154650425,0.8170792505227514,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_V5,V5,rs_diff,14447,536,0.9892547192854739,0.9170941666961843,1.0670931461204918,0.7798152799289277,0.8170434936734329,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_V5,V5,rs_diff_2,14447,536,1.0152365326236514,0.9359580867569273,1.1012300996779287,0.7154688468537447,0.8170024331766077,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_V6,V6,rs_diff,14447,536,0.9450545064290994,0.8759503357539994,1.0196103405259422,0.14465120049611613,0.8173805319182061,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_V6,V6,rs_diff_2,14447,536,0.9840621158566577,0.9025239706065502,1.0729667902487663,0.7158100549646154,0.8170862650242924,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_I,I,rs_diff,14301,530,0.9268999269700573,0.8564167099161942,1.0031839228138952,0.05994666454389823,0.8166885533898707,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.009385796048450887,0.14422571313762508
rs_diff_2_I,I,rs_diff_2,14301,529,0.9379082515891249,0.8654956674335725,1.0163793089888398,0.11789699568155758,0.81735517787894,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.004104956355959459,0.09909366083381108
rs_diff_II,II,rs_diff,14301,533,0.9807681613001461,0.9116821368722577,1.055089430094701,0.6023229637509757,0.8176666519169818,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.006734702362157391,0.14285714285706647
rs_diff_2_II,II,rs_diff_2,14301,535,0.9917109987728476,0.9212747843646278,1.0675324254807639,0.8247539115955556,0.8168617925387913,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0032004995179358993,0.09506081061968558
rs_diff_III,III,rs_diff,14301,532,0.9995185535189346,0.924046625970247,1.0811546850026061,0.9904082303447438,0.8178762446540674,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0094490162830789,0.18083281147506286
rs_diff_2_III,III,rs_diff_2,14301,535,0.9979981713143117,0.9228275005934863,1.0792920121107845,0.9600003902805245,0.8168135518993912,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.003980657823135034,0.13007411972968527
rs_diff_aVR,aVR,rs_diff,14301,533,0.9792038555837972,0.9094670751306344,1.054287963808308,0.577178477913443,0.8165916978012457,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.00850549860949985,0.1428571428569993
rs_diff_2_aVR,aVR,rs_diff_2,14301,532,0.9991551319135435,0.927583288663267,1.0762494212976053,0.982218216767266,0.8167944975717262,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.003925622969560252,0.08857705046718813
rs_diff_aVL,aVL,rs_diff,14301,531,0.9429227614369627,0.8695246270049293,1.0225165641350686,0.15519386537865745,0.8166665939236285,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_replication_corrected,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.022388037487893843,0.1627758299265891
