lead,time_ms,score_group,median_normalized_amplitude,q25_normalized_amplitude,q75_normalized_amplitude,n_waveforms
V2,-80.0,Lower quintile,0.5403854221039578,0.3771291355103753,0.6821105916710029,323
V2,-77.5,Lower quintile,0.5391761242682206,0.3794368516245094,0.6853159333019094,323
V2,-75.0,Lower quintile,0.5382241890896645,0.38469780965434486,0.6874484407479257,323
V2,-72.5,Lower quintile,0.5426032955885312,0.3817731963320308,0.6817840475111462,323
V2,-70.0,Lower quintile,0.549478146010081,0.3777298047585206,0.6812888107152923,323
V2,-67.5,Lower quintile,0.5527824776547148,0.38594786049705676,0.6877060178838734,323
V2,-65.0,Lower quintile,0.5490545827153984,0.3893557182163603,0.6851108985998702,323
V2,-62.5,Lower quintile,0.5562731921093776,0.38544458229558864,0.6873759468005468,323
V2,-60.0,Lower quintile,0.5542258177116112,0.3866403427688995,0.6901610661870132,323
V2,-57.5,Lower quintile,0.5533156318517707,0.3912396360176144,0.6918317309549424,323
V2,-55.0,Lower quintile,0.5651731266394477,0.3902596706691187,0.6922112950302688,323
V2,-52.5,Lower quintile,0.5665157083540183,0.38998011165888724,0.6983786324909447,323
V2,-50.0,Lower quintile,0.5658040308829243,0.39377512480441657,0.6973360419368002,323
V2,-47.5,Lower quintile,0.5617906157874875,0.39582518721905824,0.6982948222407183,323
V2,-45.0,Lower quintile,0.5631248407332003,0.3972554781435067,0.6996057950630123,323
V2,-42.5,Lower quintile,0.5749348643920169,0.40479653126921405,0.6998782609281107,323
V2,-40.0,Lower quintile,0.5741538297801463,0.416797679931942,0.708300735572821,323
V2,-37.5,Lower quintile,0.5915389547304619,0.41901583230174,0.7189033742854833,323
V2,-35.0,Lower quintile,0.6029548077336376,0.434082480769178,0.73709509633387,323
V2,-32.5,Lower quintile,0.6176606935076958,0.4477467540671807,0.7564427580592639,323
V2,-30.0,Lower quintile,0.65312537829381,0.4790714988284993,0.7776236412054142,323
V2,-27.5,Lower quintile,0.6983487535838356,0.5148733033871759,0.8240549026633325,323
V2,-25.0,Lower quintile,0.7442447974158717,0.5680278396455642,0.8560619269185682,323
V2,-22.5,Lower quintile,0.7780409440601948,0.622005685204921,0.9085887345967587,323
V2,-20.0,Lower quintile,0.8120918027846064,0.6647233968687412,0.9443078383791574,323
V2,-17.5,Lower quintile,0.8476233685941779,0.6951825898869199,0.9572625619889576,323
V2,-15.0,Lower quintile,0.8786894887945622,0.7336246009958509,0.9617223573141378,323
V2,-12.5,Lower quintile,0.8926459195675137,0.7404975588725637,0.9609746406659756,323
V2,-10.0,Lower quintile,0.8883153836257304,0.6742946328803605,0.971635255166512,323
V2,-7.5,Lower quintile,0.839692583112984,0.5775592887729813,0.9703899496411731,323
V2,-5.0,Lower quintile,0.7431554576549301,0.45542586066893664,0.9287746980026494,323
V2,-2.5,Lower quintile,0.6317492501605589,0.2933527166753488,0.8374280742756908,323
V2,0.0,Lower quintile,0.5143035119560075,0.1845044906545598,0.7371202906325172,323
V2,2.5,Lower quintile,0.3817788931882106,0.1321326733336595,0.5783290756170725,323
